,year,community,elec_efficiency,gas_efficiency,ghg_efficiency
71,2015,LAKEVIEW,9.520454765716647,9.520454765716647,9.520454765716647
72,2015,LINCOLN PARK,21.44791581867114,21.44791581867114,21.44791581867114
73,2015,LINCOLN SQUARE,12.204178823638332,12.204178823638332,12.204178823638332
74,2015,LOGAN SQUARE,10.421419573451093,10.421419573451093,10.421419573451093
75,2015,LOOP,11.784527688351055,11.784527688351055,11.784527688351055
76,2015,LOWER WEST SIDE,11.120541291847099,11.120541291847099,11.120541291847099
77,2015,MCKINLEY PARK,15.113031476186723,15.113031476186723,15.113031476186723
78,2015,MONTCLARE,12.510498611488508,12.510498611488508,12.510498611488508
79,2015,MORGAN PARK,13.24487390475933,13.24487390475933,13.24487390475933
80,2015,MOUNT GREENWOOD,8.134341847765038,8.134341847765038,8.134341847765038
