,year,community,Electricity,Gas,Greenhouse Gas
259,2017,WEST GARFIELD PARK,23713.323779901042,54134.11284625475,7.203137185625839
260,2017,WEST LAWN,49285.78506660598,42290.00056704721,11.359061154874313
261,2017,WEST PULLMAN,32377.27194037824,53955.28190702698,8.806175662605442
262,2017,WEST RIDGE,25556.125581366545,69001.36180216816,8.375245948640648
263,2017,WEST TOWN,33625.170599196295,55602.96249083001,9.117057179604153
264,2017,WOODLAWN,23235.664694130224,48067.31546738375,7.453133476237332
265,2018,ALBANY PARK,29084.81751649853,56667.84389315433,7.848445761745698
266,2018,ARCHER HEIGHTS,33439.25545321963,49276.90040866141,8.18027033690494
267,2018,ARMOUR SQUARE,32656.693856553782,44098.00244533206,7.7750602588800755
268,2018,ASHBURN,32821.0699321526,56981.31960226484,8.486788200120941
269,2018,AUBURN GRESHAM,29775.682987913235,61387.10879026684,8.21406111787311
